,date,ngames
0,2022-04-06,0
1,2022-04-07,14
2,2022-04-08,24
3,2022-04-09,30
4,2022-04-10,30
5,2022-04-11,22
6,2022-04-12,30
7,2022-04-13,24
8,2022-04-14,22
9,2022-04-15,30
10,2022-04-16,30
11,2022-04-17,28
12,2022-04-18,16
13,2022-04-19,32
14,2022-04-20,32
15,2022-04-21,20
16,2022-04-22,28
17,2022-04-23,32
18,2022-04-24,30
19,2022-04-25,14
20,2022-04-26,30
21,2022-04-27,30
22,2022-04-28,26
23,2022-04-29,30
24,2022-04-30,30
25,2022-05-01,30
26,2022-05-02,16
27,2022-05-03,28
28,2022-05-04,34
29,2022-05-05,20
30,2022-05-06,18
31,2022-05-07,30
32,2022-05-08,36
33,2022-05-09,22
34,2022-05-10,32
35,2022-05-11,28
36,2022-05-12,16
37,2022-05-13,30
38,2022-05-14,32
39,2022-05-15,30
40,2022-05-16,24
41,2022-05-17,36
42,2022-05-18,28
43,2022-05-19,16
44,2022-05-20,26
45,2022-05-21,30
46,2022-05-22,32
47,2022-05-23,24
48,2022-05-24,30
49,2022-05-25,26
50,2022-05-26,22
51,2022-05-27,24
52,2022-05-28,34
53,2022-05-29,30
54,2022-05-30,26
55,2022-05-31,30
56,2022-06-01,30
57,2022-06-02,24
58,2022-06-03,30
59,2022-06-04,32
60,2022-06-05,30
61,2022-06-06,10
62,2022-06-07,32
63,2022-06-08,28
64,2022-06-09,22
65,2022-06-10,30
66,2022-06-11,32
67,2022-06-12,0
